,TF,targetGene,Region,chrom,start,end
83,HOXC9,CDCA2,Enhancer,chr8,25043922,25044921
84,HOXC9,CDCA2,Enhancer,chr8,25114943,25115942
85,HOXD11,CDCA2,Enhancer,chr8,25043922,25044921
86,HOXD13,CDCA2,Enhancer,chr8,25051201,25052200
87,HOXD13,CDCA2,Enhancer,chr8,25116581,25117580
88,LHX3,CDCA2,Enhancer,chr8,25109591,25110590
89,LHX3,CDCA2,Enhancer,chr8,25116581,25117580
90,NEUROD4,CDCA2,Enhancer,chr8,25109591,25110590
91,NEUROG1,CDCA2,Enhancer,chr8,25109591,25110590
92,NKX2-3,CDCA2,Enhancer,chr8,25250114,25251113
93,NKX2-3,CDCA2,Enhancer,chr8,25072069,25073068
94,NKX2-3,CDCA2,Enhancer,chr8,25110042,25111041
95,NKX2-6,CDCA2,Enhancer,chr8,25250114,25251113
96,NKX2-6,CDCA2,Enhancer,chr8,25110042,25111041
97,SOX14,CDCA2,Enhancer,chr8,25250114,25251113
98,TBX20,CDCA2,Enhancer,chr8,25051201,25052200
99,TBX20,CDCA2,Enhancer,chr8,25110042,25111041
100,TBX20,CDCA2,Enhancer,chr8,25248871,25249870
101,TGIF2LY,CDCA2,Enhancer,chr8,25072069,25073068
102,FOXI2,CDCA2,Enhancer,chr8,25117346,25118345
103,FOXI2,CDCA2,Enhancer,chr8,25056844,25057843
104,FOXI2,CDCA2,Enhancer,chr8,25117954,25118953
105,FOXI2,CDCA2,Enhancer,chr8,25089943,25090942
106,FOXI2,CDCA2,Enhancer,chr8,25051201,25052200
107,FOXI2,CDCA2,Enhancer,chr8,25116581,25117580
108,FOXI2,CDCA2,Enhancer,chr8,25108072,25109071
109,FOXI2,CDCA2,Enhancer,chr8,25099886,25100885
110,FOXI2,CDCA2,Enhancer,chr8,25070309,25071308
111,FOXI2,CDCA2,Enhancer,chr8,25158698,25159697
112,FOXI2,CDCA2,Enhancer,chr8,25157859,25158858
113,FOXI2,CDCA2,Enhancer,chr8,25250114,25251113
114,FOXI2,CDCA2,Enhancer,chr8,25248871,25249870
115,FOXI2,CDCA2,Enhancer,chr8,25110042,25111041
116,FOXI2,CDCA2,Enhancer,chr8,25053295,25054294
117,FOXI2,CDCA2,Enhancer,chr8,25109591,25110590
118,FOXI2,CDCA2,Enhancer,chr8,25100521,25101520
119,FOXI2,CDCA2,Enhancer,chr8,25044765,25045764
121,FOXI2,CDCA2,Enhancer,chr8,25043922,25044921
122,FOXI2,CDCA2,Enhancer,chr8,25101857,25102856
123,FOXI2,CDCA2,Enhancer,chr8,25045544,25046543
124,FOXI2,CDCA2,Enhancer,chr8,25052629,25053628
125,FOXI2,CDCA2,Enhancer,chr8,25112284,25113283
126,FOXI2,CDCA2,Enhancer,chr8,25165938,25166937
127,FOXI2,CDCA2,Enhancer,chr8,25115619,25116618
128,HOXB9,CDCA2,Enhancer,chr8,25100888,25101887
129,HOXB9,CDCA2,Enhancer,chr8,25109591,25110590
130,HOXB9,CDCA2,Enhancer,chr8,25070309,25071308
131,HOXB9,CDCA2,Enhancer,chr8,25114943,25115942
132,HOXB9,CDCA2,Enhancer,chr8,25116581,25117580
133,HOXB9,CDCA2,Enhancer,chr8,25112284,25113283
134,HOXB9,CDCA2,Enhancer,chr8,25043922,25044921
140,EN2,BAZ1B,Enhancer,chr7,73698123,73699122
141,ESX1,BAZ1B,Enhancer,chr7,73698123,73699122
142,ESX1,BAZ1B,Enhancer,chr7,73707412,73708411
143,FOXD3,BAZ1B,Enhancer,chr7,73594268,73595267
144,FOXD3,BAZ1B,Enhancer,chr7,73895831,73896830
145,FOXD3,BAZ1B,Enhancer,chr7,74078062,74079061
146,FOXD3,BAZ1B,Enhancer,chr7,73693621,73694620
147,FOXD3,BAZ1B,Enhancer,chr7,73694154,73695153
148,GCM1,BAZ1B,Enhancer,chr7,73707412,73708411
149,GCM1,BAZ1B,Enhancer,chr7,73696786,73697785
150,GCM1,BAZ1B,Enhancer,chr7,73880419,73881418
151,GCM1,BAZ1B,Enhancer,chr7,73119521,73120520
152,GCM1,BAZ1B,Enhancer,chr7,73294202,73295201
153,GCM1,BAZ1B,Enhancer,chr7,73784420,73785419
154,HAND1,BAZ1B,Enhancer,chr7,73928248,73929247
155,HAND1,BAZ1B,Enhancer,chr7,73879058,73880057
156,HOXA1,BAZ1B,Enhancer,chr7,73794347,73795346
157,HOXA1,BAZ1B,Enhancer,chr7,73809327,73810326
158,HOXA1,BAZ1B,Enhancer,chr7,73844431,73845430
159,HOXA1,BAZ1B,Enhancer,chr7,73738758,73739757
160,HOXA1,BAZ1B,Enhancer,chr7,73890681,73891680
161,HOXA1,BAZ1B,Enhancer,chr7,73925339,73926338
162,HOXA1,BAZ1B,Enhancer,chr7,74078062,74079061
163,HOXA1,BAZ1B,Enhancer,chr7,73807719,73808718
164,HOXA1,BAZ1B,Enhancer,chr7,73594918,73595917
165,HOXA1,BAZ1B,Enhancer,chr7,73696786,73697785
166,HOXC11,BAZ1B,Enhancer,chr7,74078062,74079061
167,HOXC11,BAZ1B,Enhancer,chr7,73594918,73595917
168,OTP,BAZ1B,Enhancer,chr7,73892428,73893427
169,OTP,BAZ1B,Enhancer,chr7,73897038,73898037
170,OTP,BAZ1B,Enhancer,chr7,73686507,73687506
171,OTP,BAZ1B,Enhancer,chr7,73808899,73809898
172,OTP,BAZ1B,Enhancer,chr7,73893980,73894979
173,OTP,BAZ1B,Enhancer,chr7,73121240,73122239
174,OTP,BAZ1B,Enhancer,chr7,73721806,73722805
175,OTP,BAZ1B,Enhancer,chr7,73869977,73870976
176,OTP,BAZ1B,Enhancer,chr7,73787563,73788562
177,OTP,BAZ1B,Enhancer,chr7,73685598,73686597
178,OTP,BAZ1B,Enhancer,chr7,73784420,73785419
179,OTP,BAZ1B,Enhancer,chr7,73904504,73905503
180,OTP,BAZ1B,Enhancer,chr7,74074201,74075200
181,OTP,BAZ1B,Enhancer,chr7,73607931,73608930
182,OTP,BAZ1B,Enhancer,chr7,73890681,73891680
183,OTP,BAZ1B,Enhancer,chr7,73692848,73693847
184,OTP,BAZ1B,Enhancer,chr7,73928248,73929247
185,OTP,BAZ1B,Enhancer,chr7,73843761,73844760
186,OTP,BAZ1B,Enhancer,chr7,74078062,74079061
187,OTP,BAZ1B,Enhancer,chr7,73866333,73867332
188,OTP,BAZ1B,Enhancer,chr7,73696786,73697785
189,POU4F2,BAZ1B,Enhancer,chr7,73897038,73898037
190,POU4F2,BAZ1B,Enhancer,chr7,73445311,73446310
191,SMARCC1,BAZ1B,Enhancer,chr7,73129644,73130643
192,SMARCC1,BAZ1B,Enhancer,chr7,73925339,73926338
193,SMARCC1,BAZ1B,Enhancer,chr7,73120512,73121511
194,SMARCC1,BAZ1B,Enhancer,chr7,73890681,73891680
195,SMARCC1,BAZ1B,Enhancer,chr7,73445311,73446310
196,SMARCC1,BAZ1B,Enhancer,chr7,73720718,73721717
197,SMARCC1,BAZ1B,Enhancer,chr7,73866333,73867332
198,SP6,BAZ1B,Enhancer,chr7,73808899,73809898
199,SP6,BAZ1B,Enhancer,chr7,73610001,73611000
200,SP6,BAZ1B,Enhancer,chr7,73130973,73131972
201,SP6,BAZ1B,Enhancer,chr7,73121240,73122239
202,SP6,BAZ1B,Enhancer,chr7,73909190,73910189
203,SP6,BAZ1B,Enhancer,chr7,73117174,73118173
204,SP6,BAZ1B,Enhancer,chr7,73594918,73595917
205,SP6,BAZ1B,Enhancer,chr7,73879058,73880057
206,SP6,BAZ1B,Enhancer,chr7,73293412,73294411
207,SP6,BAZ1B,Enhancer,chr7,73866333,73867332
208,SP6,BAZ1B,Enhancer,chr7,73925339,73926338
209,SP6,BAZ1B,Enhancer,chr7,73893980,73894979
210,SP6,BAZ1B,Enhancer,chr7,73447661,73448660
211,SP6,BAZ1B,Enhancer,chr7,73784420,73785419
212,SP6,BAZ1B,Enhancer,chr7,73738758,73739757
213,SP6,BAZ1B,Enhancer,chr7,73895141,73896140
214,SP6,BAZ1B,Enhancer,chr7,73608938,73609937
216,SP6,BAZ1B,Enhancer,chr7,73844431,73845430
217,SP6,BAZ1B,Enhancer,chr7,73427979,73428978
218,SP6,BAZ1B,Enhancer,chr7,73879500,73880499
219,SP6,BAZ1B,Enhancer,chr7,73119521,73120520
220,SP6,BAZ1B,Enhancer,chr7,73787563,73788562
221,SP6,BAZ1B,Enhancer,chr7,73843761,73844760
222,SP6,BAZ1B,Enhancer,chr7,73698810,73699809
223,SP6,BAZ1B,Enhancer,chr7,73892428,73893427
224,SP6,BAZ1B,Enhancer,chr7,73692848,73693847
225,SP6,BAZ1B,Enhancer,chr7,73446079,73447078
226,SP6,BAZ1B,Enhancer,chr7,73845110,73846109
227,SP6,BAZ1B,Enhancer,chr7,74074201,74075200
228,SP6,BAZ1B,Enhancer,chr7,73609538,73610537
229,SP6,BAZ1B,Enhancer,chr7,73880900,73881899
230,SP6,BAZ1B,Enhancer,chr7,73880419,73881418
231,SP6,BAZ1B,Enhancer,chr7,73454117,73455116
232,SP6,BAZ1B,Enhancer,chr7,73113701,73114700
233,SP6,BAZ1B,Enhancer,chr7,73453366,73454365
234,SP6,BAZ1B,Enhancer,chr7,73120512,73121511
235,SP6,BAZ1B,Enhancer,chr7,73707412,73708411
236,SP6,BAZ1B,Enhancer,chr7,73708304,73709303
237,SP6,BAZ1B,Enhancer,chr7,73694154,73695153
238,SP6,BAZ1B,Enhancer,chr7,73113985,73114984
239,SP6,BAZ1B,Enhancer,chr7,73129644,73130643
240,SP6,BAZ1B,Enhancer,chr7,73698123,73699122
241,SP6,BAZ1B,Enhancer,chr7,73300136,73301135
242,SP6,BAZ1B,Enhancer,chr7,73809327,73810326
243,SP6,BAZ1B,Enhancer,chr7,73894350,73895349
244,SP6,BAZ1B,Enhancer,chr7,73808561,73809560
245,SP6,BAZ1B,Enhancer,chr7,73928248,73929247
246,SP6,BAZ1B,Enhancer,chr7,73891220,73892219
247,SP6,BAZ1B,Enhancer,chr7,73686507,73687506
248,SP6,BAZ1B,Enhancer,chr7,73904504,73905503
249,SP6,BAZ1B,Enhancer,chr7,73807990,73808989
250,SP6,BAZ1B,Enhancer,chr7,73892574,73893573
251,SP6,BAZ1B,Enhancer,chr7,73890681,73891680
252,SP6,BAZ1B,Enhancer,chr7,73891874,73892873
253,SP6,BAZ1B,Enhancer,chr7,73893231,73894230
254,SP6,BAZ1B,Enhancer,chr7,73720718,73721717
255,SP6,BAZ1B,Enhancer,chr7,73786027,73787026
256,SP6,BAZ1B,Enhancer,chr7,73114485,73115484
257,SP6,BAZ1B,Enhancer,chr7,73807719,73808718
258,SP6,BAZ1B,Enhancer,chr7,73693621,73694620
259,SP6,BAZ1B,Enhancer,chr7,73446755,73447754
260,SP6,BAZ1B,Enhancer,chr7,73294202,73295201
261,SP6,BAZ1B,Enhancer,chr7,73130560,73131559
262,SP6,BAZ1B,Enhancer,chr7,73721806,73722805
263,SP6,BAZ1B,Enhancer,chr7,73779234,73780233
264,T,BAZ1B,Enhancer,chr7,73130560,73131559
265,T,BAZ1B,Enhancer,chr7,73895831,73896830
266,T,BAZ1B,Enhancer,chr7,73300531,73301530
267,T,BAZ1B,Enhancer,chr7,73786027,73787026
268,T,BAZ1B,Enhancer,chr7,73609538,73610537
269,T,BAZ1B,Enhancer,chr7,73721806,73722805
270,T,BAZ1B,Enhancer,chr7,73891220,73892219
271,T,BAZ1B,Enhancer,chr7,73708304,73709303
272,T,BAZ1B,Enhancer,chr7,73808561,73809560
273,T,BAZ1B,Enhancer,chr7,73693621,73694620
274,T,BAZ1B,Enhancer,chr7,73696786,73697785
275,T,BAZ1B,Enhancer,chr7,73896613,73897612
276,T,BAZ1B,Enhancer,chr7,73738758,73739757
277,T,BAZ1B,Enhancer,chr7,74078062,74079061
278,T,BAZ1B,Enhancer,chr7,73897996,73898995
279,T,BAZ1B,Enhancer,chr7,73121240,73122239
280,T,BAZ1B,Enhancer,chr7,73893231,73894230
281,T,BAZ1B,Enhancer,chr7,73445553,73446552
282,T,BAZ1B,Enhancer,chr7,73113701,73114700
283,T,BAZ1B,Enhancer,chr7,73456447,73457446
284,T,BAZ1B,Enhancer,chr7,73779234,73780233
285,T,BAZ1B,Enhancer,chr7,73446755,73447754
286,T,BAZ1B,Enhancer,chr7,73707412,73708411
287,T,BAZ1B,Enhancer,chr7,73890681,73891680
288,T,BAZ1B,Enhancer,chr7,73114485,73115484
289,T,BAZ1B,Enhancer,chr7,73879058,73880057
290,T,BAZ1B,Enhancer,chr7,73720718,73721717
291,T,BAZ1B,Enhancer,chr7,73794347,73795346
292,T,BAZ1B,Enhancer,chr7,73685598,73686597
293,T,BAZ1B,Enhancer,chr7,73427979,73428978
294,T,BAZ1B,Enhancer,chr7,73698502,73699501
295,T,BAZ1B,Enhancer,chr7,73453366,73454365
296,T,BAZ1B,Enhancer,chr7,73809327,73810326
297,T,BAZ1B,Enhancer,chr7,73608938,73609937
298,T,BAZ1B,Enhancer,chr7,73120512,73121511
299,T,BAZ1B,Enhancer,chr7,73447661,73448660
300,T,BAZ1B,Enhancer,chr7,74074424,74075423
301,T,BAZ1B,Enhancer,chr7,73454117,73455116
302,T,BAZ1B,Enhancer,chr7,73880419,73881418
303,T,BAZ1B,Enhancer,chr7,73609661,73610660
304,T,BAZ1B,Enhancer,chr7,73686051,73687050
305,T,BAZ1B,Enhancer,chr7,73894350,73895349
306,T,BAZ1B,Enhancer,chr7,73117174,73118173
307,T,BAZ1B,Enhancer,chr7,73904504,73905503
308,T,BAZ1B,Enhancer,chr7,73897354,73898353
309,T,BAZ1B,Enhancer,chr7,73893980,73894979
310,T,BAZ1B,Enhancer,chr7,73784420,73785419
311,T,BAZ1B,Enhancer,chr7,73808899,73809898
312,T,BAZ1B,Enhancer,chr7,73293412,73294411
313,T,BAZ1B,Enhancer,chr7,73692848,73693847
314,T,BAZ1B,Enhancer,chr7,73869977,73870976
315,T,BAZ1B,Enhancer,chr7,73607931,73608930
316,T,BAZ1B,Enhancer,chr7,73594918,73595917
317,T,BAZ1B,Enhancer,chr7,73129644,73130643
318,T,BAZ1B,Enhancer,chr7,73891874,73892873
319,T,BAZ1B,Enhancer,chr7,73843761,73844760
320,T,BAZ1B,Enhancer,chr7,73807719,73808718
321,T,BAZ1B,Enhancer,chr7,73670474,73671473
322,T,BAZ1B,Enhancer,chr7,73708889,73709888
323,T,BAZ1B,Enhancer,chr7,73866333,73867332
324,T,BAZ1B,Enhancer,chr7,73787563,73788562
325,T,BAZ1B,Enhancer,chr7,73895141,73896140
326,T,BAZ1B,Enhancer,chr7,73445311,73446310
327,T,BAZ1B,Enhancer,chr7,73610228,73611227
328,T,BAZ1B,Enhancer,chr7,73845110,73846109
329,T,BAZ1B,Enhancer,chr7,73113985,73114984
330,T,BAZ1B,Enhancer,chr7,73593660,73594659
331,T,BAZ1B,Enhancer,chr7,73698810,73699809
332,T,BAZ1B,Enhancer,chr7,73708681,73709680
333,T,BAZ1B,Enhancer,chr7,73880900,73881899
334,T,BAZ1B,Enhancer,chr7,73784685,73785684
335,T,BAZ1B,Enhancer,chr7,73897710,73898709
336,T,BAZ1B,Enhancer,chr7,73610001,73611000
337,T,BAZ1B,Enhancer,chr7,73897038,73898037
338,T,BAZ1B,Enhancer,chr7,73694154,73695153
339,T,BAZ1B,Enhancer,chr7,74074201,74075200
340,T,BAZ1B,Enhancer,chr7,73879500,73880499
341,T,BAZ1B,Enhancer,chr7,73686507,73687506
342,T,BAZ1B,Enhancer,chr7,73697865,73698864
343,T,BAZ1B,Enhancer,chr7,73844431,73845430
344,T,BAZ1B,Enhancer,chr7,73294202,73295201
345,T,BAZ1B,Enhancer,chr7,73909190,73910189
346,T,BAZ1B,Enhancer,chr7,73928248,73929247
347,T,BAZ1B,Enhancer,chr7,73925339,73926338
348,T,BAZ1B,Enhancer,chr7,73130973,73131972
349,T,BAZ1B,Enhancer,chr7,73892428,73893427
350,T,BAZ1B,Enhancer,chr7,73698123,73699122
351,T,BAZ1B,Enhancer,chr7,73446079,73447078
352,T,BAZ1B,Enhancer,chr7,73300136,73301135
353,T,BAZ1B,Enhancer,chr7,73685837,73686836
354,T,BAZ1B,Enhancer,chr7,73896229,73897228
355,T,BAZ1B,Enhancer,chr7,73119521,73120520
356,T,BAZ1B,Enhancer,chr7,73807990,73808989
357,TCF21,BAZ1B,Enhancer,chr7,73808561,73809560
358,TCF21,BAZ1B,Enhancer,chr7,73807719,73808718
359,TCF21,BAZ1B,Enhancer,chr7,73446079,73447078
360,TCF21,BAZ1B,Enhancer,chr7,73928248,73929247
361,ZNF263,BAZ1B,Enhancer,chr7,73447661,73448660
362,ZNF263,BAZ1B,Enhancer,chr7,73456447,73457446
363,ZNF263,BAZ1B,Enhancer,chr7,73608938,73609937
364,ZNF263,BAZ1B,Enhancer,chr7,73738758,73739757
365,ZNF263,BAZ1B,Enhancer,chr7,73120512,73121511
366,ZNF263,BAZ1B,Enhancer,chr7,73928248,73929247
367,ZNF263,BAZ1B,Enhancer,chr7,73294202,73295201
368,ZNF263,BAZ1B,Enhancer,chr7,73893980,73894979
369,ZNF263,BAZ1B,Enhancer,chr7,73113701,73114700
370,ZNF263,BAZ1B,Enhancer,chr7,73844431,73845430
372,ZNF263,BAZ1B,Enhancer,chr7,73454117,73455116
373,ZNF263,BAZ1B,Enhancer,chr7,73694154,73695153
374,ZNF263,BAZ1B,Enhancer,chr7,74074201,74075200
375,ZNF263,BAZ1B,Enhancer,chr7,73293412,73294411
376,ZNF263,BAZ1B,Enhancer,chr7,73129644,73130643
377,ZNF263,BAZ1B,Enhancer,chr7,73720718,73721717
378,ZNF263,BAZ1B,Enhancer,chr7,73904504,73905503
379,ZNF263,BAZ1B,Enhancer,chr7,73445311,73446310
380,ZNF263,BAZ1B,Enhancer,chr7,73453366,73454365
381,ZNF263,BAZ1B,Enhancer,chr7,73610001,73611000
382,ZNF263,BAZ1B,Enhancer,chr7,73130973,73131972
383,ZNF263,BAZ1B,Enhancer,chr7,73707412,73708411
384,ZNF263,BAZ1B,Enhancer,chr7,73693621,73694620
385,ZNF263,BAZ1B,Enhancer,chr7,73130560,73131559
386,ZNF263,BAZ1B,Enhancer,chr7,73896229,73897228
387,ZNF263,BAZ1B,Enhancer,chr7,73300136,73301135
388,ZNF263,BAZ1B,Enhancer,chr7,73909190,73910189
389,ZNF263,BAZ1B,Enhancer,chr7,73609538,73610537
390,ZNF263,BAZ1B,Enhancer,chr7,73121240,73122239
391,ZNF263,BAZ1B,Enhancer,chr7,73891220,73892219
392,ZNF263,BAZ1B,Enhancer,chr7,73787563,73788562
393,ZNF263,BAZ1B,Enhancer,chr7,73446755,73447754
394,ZNF263,BAZ1B,Enhancer,chr7,73119521,73120520
395,ZNF263,BAZ1B,Enhancer,chr7,73845110,73846109
396,ZNF263,BAZ1B,Enhancer,chr7,73117174,73118173
397,ZNF263,BAZ1B,Enhancer,chr7,73786027,73787026
398,ZNF263,BAZ1B,Enhancer,chr7,73895831,73896830
399,ZNF263,BAZ1B,Enhancer,chr7,73809327,73810326
400,ZNF263,BAZ1B,Enhancer,chr7,73784685,73785684
401,ZNF263,BAZ1B,Enhancer,chr7,73892428,73893427
402,CDX2,BAZ1B,Enhancer,chr7,74078062,74079061
403,CDX2,BAZ1B,Enhancer,chr7,73594918,73595917
404,CDX4,BAZ1B,Enhancer,chr7,73594918,73595917
405,CDX4,BAZ1B,Enhancer,chr7,74078062,74079061
406,CTCF,BAZ1B,Enhancer,chr7,73866333,73867332
407,CTCF,BAZ1B,Enhancer,chr7,73117174,73118173
408,CTCF,BAZ1B,Enhancer,chr7,73607931,73608930
409,CTCF,BAZ1B,Enhancer,chr7,73897354,73898353
410,CTCF,BAZ1B,Enhancer,chr7,73670474,73671473
411,CTCF,BAZ1B,Enhancer,chr7,73894350,73895349
412,CTCF,BAZ1B,Enhancer,chr7,73447661,73448660
413,CTCF,BAZ1B,Enhancer,chr7,73692848,73693847
414,CTCF,BAZ1B,Enhancer,chr7,73300136,73301135
415,CTCF,BAZ1B,Enhancer,chr7,73880900,73881899
416,CTCF,BAZ1B,Enhancer,chr7,73119521,73120520
417,CTCF,BAZ1B,Enhancer,chr7,73129644,73130643
418,CTCF,BAZ1B,Enhancer,chr7,73896229,73897228
419,CTCF,BAZ1B,Enhancer,chr7,73845110,73846109
420,CTCF,BAZ1B,Enhancer,chr7,73843761,73844760
421,CTCF,BAZ1B,Enhancer,chr7,73895831,73896830
422,CTCF,BAZ1B,Enhancer,chr7,73293412,73294411
423,CTCF,BAZ1B,Enhancer,chr7,73113701,73114700
424,CTCF,BAZ1B,Enhancer,chr7,73697865,73698864
425,CTCF,BAZ1B,Enhancer,chr7,73610001,73611000
426,CTCF,BAZ1B,Enhancer,chr7,73294202,73295201
427,CTCF,BAZ1B,Enhancer,chr7,73807719,73808718
428,CTCF,BAZ1B,Enhancer,chr7,73120512,73121511
429,CTCF,BAZ1B,Enhancer,chr7,73808561,73809560
430,CTCF,BAZ1B,Enhancer,chr7,73794347,73795346
432,CTCF,BAZ1B,Enhancer,chr7,73446755,73447754
433,CTCF,BAZ1B,Enhancer,chr7,73738758,73739757
434,CTCF,BAZ1B,Enhancer,chr7,73114485,73115484
435,ELF5,BAZ1B,Enhancer,chr7,73685598,73686597
436,ELF5,BAZ1B,Enhancer,chr7,73293412,73294411
439,FOXA2,BAZ1B,Enhancer,chr7,73708304,73709303
440,FOXA2,BAZ1B,Enhancer,chr7,73843761,73844760
441,FOXA2,BAZ1B,Enhancer,chr7,73670474,73671473
442,FOXA3,BAZ1B,Enhancer,chr7,73904504,73905503
443,FOXA3,BAZ1B,Enhancer,chr7,73925339,73926338
444,FOXA3,BAZ1B,Enhancer,chr7,73607931,73608930
445,FOXA3,BAZ1B,Enhancer,chr7,73895831,73896830
446,FOXA3,BAZ1B,Enhancer,chr7,73670474,73671473
447,FOXA3,BAZ1B,Enhancer,chr7,74078062,74079061
448,FOXI1,BAZ1B,Enhancer,chr7,73895831,73896830
449,FOXI1,BAZ1B,Enhancer,chr7,73685598,73686597
450,FOXI1,BAZ1B,Enhancer,chr7,73707412,73708411
451,FOXI1,BAZ1B,Enhancer,chr7,73694154,73695153
452,FOXI1,BAZ1B,Enhancer,chr7,73685837,73686836
453,FOXI1,BAZ1B,Enhancer,chr7,73843761,73844760
454,FOXI1,BAZ1B,Enhancer,chr7,73880900,73881899
455,FOXI1,BAZ1B,Enhancer,chr7,73925339,73926338
456,FOXI1,BAZ1B,Enhancer,chr7,73779234,73780233
457,FOXI1,BAZ1B,Enhancer,chr7,73866333,73867332
468,HOXA11,BAZ1B,Enhancer,chr7,74078062,74079061
469,HOXA11,BAZ1B,Enhancer,chr7,73925339,73926338
470,HOXA11,BAZ1B,Enhancer,chr7,73594918,73595917
471,HOXA13,BAZ1B,Enhancer,chr7,73807719,73808718
472,HOXB1,BAZ1B,Enhancer,chr7,73844431,73845430
473,HOXB1,BAZ1B,Enhancer,chr7,73890681,73891680
474,HOXB1,BAZ1B,Enhancer,chr7,73794347,73795346
475,HOXB9,BAZ1B,Enhancer,chr7,74078062,74079061
476,HOXB9,BAZ1B,Enhancer,chr7,73895141,73896140
477,HOXB9,BAZ1B,Enhancer,chr7,73608938,73609937
478,HOXB9,BAZ1B,Enhancer,chr7,73594918,73595917
479,HOXB9,BAZ1B,Enhancer,chr7,73925339,73926338
482,HOXC9,BAZ1B,Enhancer,chr7,73925339,73926338
483,HOXC9,BAZ1B,Enhancer,chr7,73608938,73609937
